Ticker,RF_Accuracy,RF_Precision,LR_Accuracy,LR_Precision,Best_Accuracy,Best_Model,Train_Samples,Test_Samples
FIX,0.48656294200848654,0.5161290322580645,0.5172088637435172,0.5226837060702876,0.5172088637435172,LogisticRegression,3181,2121
TSLA,0.4878048780487805,0.5095785440613027,0.5121951219512195,0.5292207792207793,0.5121951219512195,LogisticRegression,1599,1066
CNP,0.4827911362564828,0.533175355450237,0.47996228194248,0.569620253164557,0.4827911362564828,RandomForest,3181,2121
DLTR,0.49033474776049035,0.6440677966101694,0.49174917491749176,0.5081833060556464,0.49174917491749176,LogisticRegression,3181,2121
WMS,0.47560975609756095,0.6545454545454545,0.5228658536585366,0.5705882352941176,0.5228658536585366,LogisticRegression,984,656
HAS,0.47006129184347006,0.5056818181818182,0.4941065535124941,0.5510597302504817,0.4941065535124941,LogisticRegression,3181,2121
RHI,0.47713342762847716,0.575,0.49976426214049974,0.5557432432432432,0.49976426214049974,LogisticRegression,3181,2121
TGT,0.4945780292314946,0.5292792792792793,0.4945780292314946,0.5329949238578681,0.4945780292314946,LogisticRegression,3181,2121
AAPL,0.4908062234794908,0.5526881720430108,0.5011786892975012,0.532538955087076,0.5011786892975012,LogisticRegression,3181,2121
MSFT,0.4809052333804809,0.5638629283489096,0.46864686468646866,0.5824175824175825,0.4809052333804809,RandomForest,3181,2121
GOOGL,0.47644927536231885,0.6386554621848739,0.4927536231884058,0.5666666666666667,0.4927536231884058,LogisticRegression,2484,1656
AMZN,0.4827911362564828,0.5670886075949367,0.5214521452145214,0.5517241379310345,0.5214521452145214,LogisticRegression,3181,2121
META,0.5136986301369864,0.5574912891986062,0.5422374429223744,0.556420233463035,0.5422374429223744,LogisticRegression,1312,876
NVDA,0.46864686468646866,0.5296052631578947,0.5139085337105139,0.5553398058252427,0.5139085337105139,LogisticRegression,3181,2121
JPM,0.5025931164545026,0.5151745068285281,0.4969354078264969,0.5192307692307693,0.5025931164545026,RandomForest,3181,2121
BAC,0.49976426214049974,0.5170940170940171,0.504007543611504,0.5174765558397272,0.504007543611504,LogisticRegression,3181,2121
WFC,0.5007072135785007,0.5121602288984263,0.5271098538425271,0.5655296229802513,0.5271098538425271,LogisticRegression,3181,2121
GS,0.4969354078264969,0.5408388520971302,0.5016501650165016,0.52219074598678,0.5016501650165016,LogisticRegression,3181,2121
MS,0.4893917963224894,0.5105708245243129,0.49834983498349833,0.5194029850746269,0.49834983498349833,LogisticRegression,3181,2121
V,0.5192901234567902,0.5984251968503937,0.4930555555555556,0.5911602209944752,0.5192901234567902,RandomForest,1943,1296
MA,0.4959404600811908,0.5747330960854092,0.5250338294993234,0.6173752310536045,0.5250338294993234,LogisticRegression,2217,1478
PYPL,0.5249110320284698,0.5685483870967742,0.5391459074733096,0.5466666666666666,0.5391459074733096,LogisticRegression,841,562
DIS,0.5068363979255068,0.5358444714459295,0.5134370579915134,0.5259048970901349,0.5134370579915134,LogisticRegression,3181,2121
NFLX,0.4962805526036132,0.65625,0.4814027630180659,0.4942363112391931,0.4962805526036132,RandomForest,2822,1882
CMCSA,0.5068363979255068,0.5522388059701493,0.5044790193305044,0.5393873085339168,0.5068363979255068,RandomForest,3181,2121
T,0.5242809995285242,0.5552083333333333,0.5087223008015087,0.5425904317386231,0.5242809995285242,RandomForest,3181,2121
VZ,0.5025931164545026,0.5217391304347826,0.49646393210749645,0.5032563647128478,0.5025931164545026,RandomForest,3181,2121
PFE,0.49316360207449317,0.4731182795698925,0.49316360207449317,0.4739583333333333,0.49316360207449317,LogisticRegression,3181,2121
JNJ,0.47713342762847716,0.5069124423963134,0.4738330975954738,0.4988610478359909,0.47713342762847716,RandomForest,3181,2121
UNH,0.5285242809995285,0.5524769101595298,0.4912776991984913,0.5329512893982808,0.5285242809995285,RandomForest,3181,2121
MRK,0.4974068835454974,0.5368421052631579,0.49174917491749176,0.48299319727891155,0.4974068835454974,RandomForest,3181,2121
ABBV,0.504914004914005,0.548469387755102,0.4975429975429975,0.5267558528428093,0.504914004914005,RandomForest,1219,814
CVX,0.5068363979255068,0.5146048109965635,0.5157944365865158,0.5152386428982174,0.5157944365865158,LogisticRegression,3181,2121
XOM,0.48326261197548326,0.47315096251266464,0.4955209806694955,0.4883116883116883,0.4955209806694955,LogisticRegression,3181,2121
COP,0.48656294200848654,0.4794344473007712,0.49504950495049505,0.4931506849315068,0.49504950495049505,LogisticRegression,3181,2121
SLB,0.512022630834512,0.4995547640249332,0.47901933050447904,0.4780999383096854,0.512022630834512,RandomForest,3181,2121
HD,0.4856199905704856,0.5423976608187134,0.49646393210749645,0.5368516833484986,0.49646393210749645,LogisticRegression,3181,2121
LOW,0.4743045733144743,0.5700636942675159,0.46298915605846297,0.524390243902439,0.4743045733144743,RandomForest,3181,2121
TJX,0.512965582272513,0.5255198487712666,0.5044790193305044,0.5110837438423645,0.512965582272513,RandomForest,3181,2121
ROST,0.47336162187647335,0.5308056872037915,0.5077793493635078,0.5636094674556213,0.5077793493635078,LogisticRegression,3181,2121
NKE,0.48514851485148514,0.55,0.4969354078264969,0.5226223453370268,0.4969354078264969,LogisticRegression,3181,2121
SBUX,0.4893917963224894,0.5314136125654451,0.4945780292314946,0.5129918337045286,0.4945780292314946,LogisticRegression,3181,2121
MCD,0.4941065535124941,0.5615514333895447,0.5157944365865158,0.5417543859649123,0.5157944365865158,LogisticRegression,3181,2121
YUM,0.48467703913248467,0.5494505494505495,0.5233380480905233,0.5463836477987422,0.5233380480905233,LogisticRegression,3181,2121
CMG,0.47685185185185186,0.5084033613445378,0.5099206349206349,0.547077922077922,0.5099206349206349,LogisticRegression,2266,1512
COST,0.4667609618104668,0.520242914979757,0.47901933050447904,0.5274463007159904,0.47901933050447904,LogisticRegression,3181,2121
WMT,0.4898632720414899,0.5327868852459017,0.521923620933522,0.5279465370595383,0.521923620933522,LogisticRegression,3181,2121
KR,0.49363507779349364,0.5281862745098039,0.4860914662894861,0.5235109717868338,0.49363507779349364,RandomForest,3181,2121
CAT,0.4842055634134842,0.4976303317535545,0.49222065063649223,0.5075431034482759,0.49222065063649223,LogisticRegression,3181,2121
DE,0.4945780292314946,0.5421994884910486,0.5063649222065064,0.5199449793672627,0.5063649222065064,LogisticRegression,3181,2121
MMM,0.4875058934464875,0.5763546798029556,0.5252239509665252,0.5522058823529412,0.5252239509665252,LogisticRegression,3181,2121
HON,0.4724186704384724,0.5588235294117647,0.495992456388496,0.5669642857142857,0.495992456388496,LogisticRegression,3181,2121
GE,0.504950495049505,0.4801762114537445,0.5082508250825083,0.48562933597621405,0.5082508250825083,LogisticRegression,3181,2121
BA,0.495992456388496,0.5541666666666667,0.5007072135785007,0.5319148936170213,0.5007072135785007,LogisticRegression,3181,2121
LMT,0.48797736916548795,0.5563093622795116,0.5124941065535125,0.5555555555555556,0.5124941065535125,LogisticRegression,3181,2121
RTX,0.4860914662894861,0.5202312138728323,0.5096652522395096,0.5267558528428093,0.5096652522395096,LogisticRegression,3181,2121
F,0.4974068835454974,0.46449704142011833,0.5101367279585102,0.5040214477211796,0.5101367279585102,LogisticRegression,3181,2121
GM,0.4980506822612086,0.4976689976689977,0.51364522417154,0.5086206896551724,0.51364522417154,LogisticRegression,1539,1026
