Ticker,Model,Final_Value,Return_Pct,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate
FIX,RandomForest,83272.01390558455,-16.72798609441545,-0.8209904305012699,26.045682818085858,39,41.02564102564102
FIX,LogisticRegression,520577.93036411336,420.57793036411334,0.36145626659497465,47.366846922839336,226,65.929203539823
TSLA,RandomForest,191245.79180648227,91.24579180648227,0.2538083843832701,50.4490967916707,146,63.013698630136986
TSLA,LogisticRegression,329685.5281063041,229.6855281063041,0.31807250531707015,60.63965595100478,191,65.96858638743456
CNP,RandomForest,85786.06007586465,-14.213939924135351,-0.3955254519354785,28.89235978126352,197,46.192893401015226
CNP,LogisticRegression,158189.49561576612,58.18949561576612,0.06135451891163226,58.01643734103773,1,0.0
DLTR,RandomForest,112923.94273802944,12.923942738029437,-0.6498946471370689,5.7781333314237955,35,54.285714285714285
DLTR,LogisticRegression,59417.16088019568,-40.58283911980431,-0.39916108585746457,54.66962428304029,296,54.054054054054056
WMS,RandomForest,137114.21310355305,37.11421310355305,0.28780527026939573,31.228446254794616,59,66.10169491525424
WMS,LogisticRegression,100000.0,0.0,0.0,0.0,0,0.0
HAS,RandomForest,66261.98454990369,-33.738015450096306,-0.7258136559742554,52.154716393772425,33,39.39393939393939
HAS,LogisticRegression,73781.74125054367,-26.218258749456336,-0.30182422113519436,42.20816002853903,134,50.0
RHI,RandomForest,113148.17867896319,13.148178678963188,-0.43011897737614885,25.880983283707387,62,59.67741935483871
RHI,LogisticRegression,52357.93526668306,-47.64206473331694,-0.6741112653395068,61.13722942334397,293,54.94880546075085
TGT,RandomForest,83811.99431768144,-16.18800568231856,-0.3741147114146196,36.72186404350623,279,59.13978494623656
TGT,LogisticRegression,105563.5750018338,5.5635750018338,-0.20979876480562176,31.6802538527361,266,54.51127819548872
