Ticker,Model,Accuracy,Precision,ROC_AUC
FIX,RandomForest,0.48043375766148044,0.4222222222222222,0.5186814067131298
FIX,LogisticRegression,0.5186232909005186,0.5227552275522755,0.5111369239944101
TSLA,RandomForest,0.5103189493433395,0.5266457680250783,0.5010756101001552
TSLA,LogisticRegression,0.5084427767354597,0.5223463687150838,0.5340351248413034
CNP,RandomForest,0.47147571900047147,0.506896551724138,0.49924944221329765
CNP,LogisticRegression,0.5304101838755304,0.5304101838755304,0.5
DLTR,RandomForest,0.4898632720414899,0.6379310344827587,0.5014796297186567
DLTR,LogisticRegression,0.4908062234794908,0.5074013157894737,0.4732357952876197
WMS,RandomForest,0.48628048780487804,0.6395348837209303,0.5382694023193577
WMS,LogisticRegression,0.4496951219512195,0.0,0.5
HAS,RandomForest,0.4648750589344649,0.43661971830985913,0.5016815873327561
HAS,LogisticRegression,0.4780763790664781,0.543778801843318,0.5083267134964342
RHI,RandomForest,0.47713342762847716,0.575,0.5156966644588026
RHI,LogisticRegression,0.5007072135785007,0.562962962962963,0.5167044860110084
TGT,RandomForest,0.4898632720414899,0.5197368421052632,0.4980305685740496
TGT,LogisticRegression,0.49316360207449317,0.5402298850574713,0.5059100789914226
